officer_id,name,country,role,source,description
OFF_00283,Person 284,USA,Beneficial Owner,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00284,Person 285,USA,Beneficial Owner,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00285,Person 286,Brazil,Director,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00286,Person 287,China,Secretary,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00287,Person 288,Brazil,Secretary,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00288,Person 289,Russia,Secretary,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00289,Person 290,France,Nominee,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00290,Person 291,UK,Shareholder,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00291,Person 292,Germany,Beneficial Owner,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00292,Person 293,France,Beneficial Owner,Paradise Papers,Individual associated with offshore entities through various roles and connections.
OFF_00293,Person 294,India,Beneficial Owner,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00294,Person 295,India,Nominee,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00295,Person 296,UK,Secretary,Pandora Papers,Individual associated with offshore entities through various roles and connections.
OFF_00296,Person 297,USA,Secretary,Bahamas Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00297,Person 298,India,Shareholder,Panama Papers,Individual associated with offshore entities through various roles and connections.
OFF_00298,Person 299,France,Shareholder,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
OFF_00299,Person 300,India,Director,Offshore Leaks,Individual associated with offshore entities through various roles and connections.
