name,description,instructors
Use NVIDIA Base Command Manager and Run:ai to Fuel Your AI Superpowers,"In this hands-on DLI session, we'll show you how to harness the power of NVIDIA Base Command Manager and Run:ai to fuel your AI factory. You'll start with a cluster managed by Base Command Manager and learn how to use it to install Run:ai, unlocking its full potential to increase utilization of your AI resources. By the end of this session, you'll be able to transform your AI cluster from hard-to-use to easily manageable by administrators and data scientists alike. Whether you're looking to simplify your AI workflow or take your AI factory to the next level, this session is perfect for using NVIDIA Base Command Manager and Run:ai to power your AI endeavors.",Jeff Weiss // Scott Ellis
Make Retrieval Better: Fine-Tuning an Embedding Model for Domain-Specific RAG,"LLMs power AI applications like conversational chatbots and content generators, but are constrained by their training data. This might lead to hallucinations in content generation, which requires up-to-date or domain-specific information. Retrieval augmented generation (RAG) addresses this issue by enabling LLMs to access external context without modifying model parameters. Embedding or dense retrieval models are a key component of a RAG pipeline for retrieving relevant context to the LLM. However, an embedding model’s effectiveness to capture the unique characteristics of the custom data hinges on the quality and domain relevance of its training data. Fine-tuning embedding models is gaining interest to provide more accurate and relevant responses tailored to users’ specific domain. 
 
 In this tutorial, you'll learn to generate a synthetic dataset with question-context pairs from a domain-specific corpus, and process the data for fine-tuning. Then, fine-tune a text embedding model using synthetic data and evaluate it.",Benedikt Schifferer // Gabriel Moreira // Ronay Ak
"Address Complex/Logical Tasks With Conversational AI: Multi-Agent, Multi-Turn Framework From Scratch","Learn to build an agent framework to tackle the multi-turn complex task, how to add tools, and multi-turn agents behavior. Learn how to build conversational AI agents that can tackle complex tasks with ease, and explore new techniques for multi-turn conversations and persona-based interactions.",Sagar Desai
Applying AI Weather Models With NVIDIA Earth-2,Explore how NVIDIA Earth-2 facilitates efficient weather and climate modeling. Learn how to run a large and growing stack of global AI weather forecasting models and how downscaling models generate super-resolution outputs. Discover use cases and applications benefiting the most from this emerging technology.,Georg Ertl // Jussi Leinonen // Stefan Weissenberger
The Speed of Thought: Navigate LLM Inference Autoscaling for a Gen AI Application Toward Production,Learn how to choose the autoscaling hyperparameters for your LLM applications by understanding the key metrics during inference. Gain essential tools to optimize latency and throughput by running and dissecting LLM inference benchmarks. See how NVIDIA's benchmarking software can be leveraged to make an informed decision about the Kubernetes deployment of your Gen AI application. You'll acquire best practices and tips to allow you to bring low latency at unmatched cost-effectiveness to your NIM applications for production.,Dmitry Mironov // Sergio Perez // Mohak Chadha
007 Evaluations for Your Customer Assistant LLM Agent: No Time for Hallucinations,"Evaluate and optimize an LLM customer assistant, ensuring it performs robustly, accurately, and with no hallucinations in real-world scenarios. Leverage the NeMo Evaluator Microservice to create unit tests to track Gen AI model quality continuously during the development: 
 
 • Optimize accuracy in your local languages for multilingual deployments and AI sovereignty
 • Employ LLM-as-a-judge to ensure truthfulness and toxicity
 • Evaluate end-to-end RAG applications
 
 Master techniques for visualizing evaluation results, and use these insights to make informed decisions and improvements to your LLM agents. You'll have access to a k8s deployment of NeMo Microservices pipeline and NIM, which will be ready for experimentation.",Dmitry Mironov // Sergio Perez // Ziv Ilan
From NeRF to 3DGS: Exploring Advanced Methods for High-Quality Static and Dynamic Scene Reconstruction in Interactive 3D Worlds,"In this training lab, we'll explore the latest techniques in 3D scene creation using neural radiance fields (NeRF) and 3D Gaussian splatting (3DGS). These methods use machine learning to create detailed 3D scenes from just a few images. Learn how to model dynamic scenes where objects can move and rotate while keeping their color, opacity, and size consistent. We’ll also cover how to combine elements from different scenes and add new objects to moving scenes, like attaching a hat to a character that changes position. Gain practical skills in using NeRF and 3DGS to create and manage both static and dynamic 3D scenes.",Andrea Pilzer // Mireille Fares
Blueprints for Success: Take the Red Pill — Navigating NIM Agent Workflows for Real-World Multimodal Retrieval,"In this comprehensive course, you'll delve into the real-world applications of multimodal retrieval-augmented generation (RAG). Through a series of hands-on modules, learn how to leverage NIM agent blueprints as a one-stop solution for your AI projects. Much of the course is a deep dive into a real-life multimodal RAG application at scale, utilizing NVIDIA NIMs. You'll gain the knowledge and skills needed to implement and optimize multimodal data ingestion, embedding, and retrieval. You'll also learn how NVIDIA Blueprints can guide your AI solution from proof of concept (POC) to production using self-hosted microservices. This holistic approach ensures that you are equipped to handle every stage of the AI development lifecycle. In the end, you'll have a solid understanding of NIM agent workflows and be able to apply them effectively in real-world scenarios, taking your AI projects to the next level.",Natalia Segal // Rita Fernandes Neves // Ziv Ilan
Evaluating RAG and Semantic Search Systems,"As adoption of LLMs and retrieval-augmented generation (RAG) becomes more prevalent in enterprise, the demand for robust evaluation arises, ensuring these new tools meet the high regulatory standards of various industries. Gain an in-depth understanding of the unique requirements as well as practical tools to robustly evaluate such systems addressing the complex nature of the underlying data. We'll introduce evaluation techniques addressing domain-specific language and knowledge, specific evaluation metrics, and independent assessment of the retrieval and generation steps, all while taking temporal information into account.",Amit Bleiweiss
Accelerating Portfolio Optimization,"Join our in-depth exploration of cutting-edge techniques to accelerate portfolio optimization on GPUs. We'll unpack how to formulate optimization problems in terms of risk-reward trade-offs under various constraints. We'll discuss how to transform traditionally sequential optimization algorithms into parallel ones that can leverage GPU acceleration to manage complex, high-dimensional investment portfolios efficiently. Concrete examples using FX options and equity portfolios will be provided.",Ioana Boier // Peihan Huo // Yigal Jhirad
Scaling Inference Using NIM Through A Serverless NCP SaaS Platform,"We'll train you to scale your Gen AI workload and create a software-as-a-service (SaaS) serverless platform. We'll use NIMs of an open-source LLM, scaling it using open-source technologies like Kubernetes, Ray, and KServe, and we'll demonstrate the usage of NVCF. We'll show you how to obtain GPU utilization metrics using Grafana and Prometheus, autoscaling compute resources based on inflight demand and defining best practices around efficiently using the underlying abstracted GPU infrastructure based on NCP RA.",Anish Mukherjee // Jalaj Thanaki
Automate 5G Network Configurations With NVIDIA AI LLM Agents and Kinetica Accelerated Database,"Learn how to create AI agents using LangGraph and NVIDIA NIM to automate 5G network configurations. You'll deploy LLM agents to monitor real-time network quality of service (QoS) and dynamically respond to congestion by creating new network slices. LLM agents will process logs to detect when QoS falls below a threshold, then automatically trigger a new slice for the affected user equipment. Using graph-based models, the agents understand the network configuration, identifying impacted elements. This ensures efficient, AI-driven adjustments that consider the overall network architecture.
 
 We'll use the Open Air Interface 5G lab to simulate the 5G network, demonstrating how AI can be integrated into real-world telecom environments. You'll also gain practical knowledge on using Python with LangGraph and NVIDIA AI endpoints to develop and deploy LLM agents that automate complex network tasks.",Amparo Canaveras // Swastika Dutta
Build an AI Research Assistant with NVIDIA AI Blueprints,"NVIDIA AI Blueprints show developers how to build complex solutions using NVIDIA software. In this hands-on training lab, attendees will build an interactive AI-powered research assistant that includes:
- a stylized digital human avatar for interactivity
- a RAG system for multimodal document understanding
- an AI agent that will research topics and discuss its findings",Jacob Liberman
